expression,reading,meaning,indonesian_meaning
近所,きんじょ,neighborhood,"tetangga, sekitar rumah"
将来,しょうらい,(in the) future; prospects,"masa depan, prospek"
億,おく,hundred million,ratusan juta
数学,すうがく,mathematics,matematika
文化,ぶんか,culture,budaya
払う,はらう,to pay,membayar
習慣,しゅうかん,custom (in reference to culture),"kebiasaan, adat"
焼ける,やける,"to burn, to be roasted","terbakar, terpanggang (intransitif)"
君,きみ,you (informal for men),kamu (informal laki-laki)
冷える,ひえる,"to grow cold, to cool down",menjadi dingin
点く,つく,"to be started, to be switched on",menyala (lampu)
この間,このあいだ,"the other day, recently","baru-baru ini, tempo hari"
格好,かっこう,"appearance, manner, shape, form, posture","penampilan, bentuk"
かまう,,"to mind, to care about, to be concerned about","memedulikan, keberatan"
続ける,つづける,"to continue, to keep up",melanjutkan (transitif)
落す,おとす,"to drop, to lose","menjatuhkan, menghilangkan"
明日,あす,tomorrow,besok
出発,しゅっぱつする,departure,keberangkatan
拝見,はいけんする,"(humble) (polite) seeing, look at","melihat, membaca (rendah hati)"
割れる,われる,to break,"pecah, terbagi"
背中,せなか,back (of body),punggung
新聞社,しんぶんしゃ,newspaper company,perusahaan koran
いじめる,いじめる,"to bully, to torment","merundung, mem-bully"
回る、回す,まわる、まわす,"to go around, to revolve","berputar, memutar"
～君,～くん,"Mr. (junior) ~, master ~",Sdr. (~くん)
おっしゃる,おっしゃる,-- honorific expression for いう --,"berkata, berbicara (sopan)"
眠い,ねむい,"sleepy, drowsy",mengantuk
濡れる,ぬれる,to get wet,basah
倒れる,たおれる,"to collapse, to break down","tumbang, roboh"
スーパー (マーケット),スーパー (マーケット),supermarket,supermarket
アクセサリー,アクセサリー,accessory,aksesori
考える,かんがえる,to think (about); to consider,"memikirkan, mempertimbangkan"
向かう,むかう,"to face, to go towards","menghadap, menuju"
自由,じゆう,freedom,"bebas, kebebasan"
仕方,しかた,way (of doing something),"cara, metode"
首,くび,neck,leher
程,ほど,"degree, extent","tingkat, sejauh"
代わり,かわり,"substitute, replacement",pengganti
失敗,しっぱい,"failure, mistake","gagal, kesalahan"
工業,こうぎょう,(manufacturing) industry,industri manufaktur
移る,うつる,to move (from a house); to transfer (from a department); to shift,"pindah, menular"
スーツケース,スーツケース,suitcase,koper
ひげ,ひげ,beard,"janggut, kumis"
研究室,けんきゅうしつ,the professor's office; laboratory,"ruang dosen, laboratorium"
工場,こうじょう,factory,pabrik
紹介,しょうかい,an introduction,perkenalan
けれど; けれども,けれど; けれども,"but, although","tetapi, meskipun"
舟,ふね,"ship, boat","perahu, kapal"
動く,うごく,to move,bergerak
～(に) ついて,～(に) ついて,"about, concerning","tentang, mengenai"
コンサート,コンサート,concert,konser
虫,むし,insect,"serangga, ulat"
優しい,やさしい,"kind (person), gentle (person), easy (problem)","baik hati, ramah"
コンピュータ; コンピューター,コンピュータ; コンピューター,computer,komputer
植える,うえる,to plant,menanam
両方,りょうほう,"both sides, both parties",kedua belah pihak
汚れる,よごれる,to become dirty,menjadi kotor
水泳,すいえい,swimming,"renang, olahraga renang"
経験,けいけんする,experience,"pengexperiencean, pengalaman"
勝つ,かつ,to win,menang
砂,すな,sand,pasir
警察,けいさつ,police; police station,"kepolisian, polisi"
取り替える,とりかえる,"to exchange, to replace","menukar, mengganti"
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush","terburu-buru, bergegas"
簡単,かんたん,simple,"mudah, sederhana"
参る,まいる,humble expression for 行く and 来る,"pergi, datang (rendah hati)"
全然,ぜんぜん,"not at all; wholly, entirely",sama sekali tidak (negatif)
特別,とくべつ,special,"khusus, istimewa"
復習,ふくしゅう,"review (of lessons), revision",mengulang pelajaran
間に合う,まにあう,to be in time for,"keburu, sempat, tepat waktu"
役に立つ,やくにたつ,"to be helpful, to be useful","berguna, bermanfaat"
もうすぐ,もうすぐ,very soon; in a few moments; days,sebentar lagi
真中,まんなか,"middle, center","tengah-tengah, pusat"
戻る,もどる,to return (v.i.); to come back,"kembali, pulang (intransitif)"
研究,けんきゅう,"study, research, investigation","penelitian, studi"
ケーキ,ケーキ,cake,"kue, cake"
草,くさ,grass,rumput
込む,こむ,to be crowded,"padat, penuh sesak"
この頃,このごろ,"these days, nowadays","akhir-akhir ini, akhir ini"
訪ねる,たずねる,to visit,mengunjungi
下げる,さげる,to lower (v.t.); to hang,"menurunkan, menggantungkan (transitif)"
花見,はなみ,cherry-blossom viewing,melihat bunga sakura
途中,とちゅう,"on the way, midway",di tengah jalan
入院,にゅういんする,hospitalization,"rawat inap, masuk RS"
乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)",pindah kereta/kendaraan
別れる,わかれる,"to part from, to separate",berpisah
～町,～ちょう,the town of ~,"kota ~, kota kecil"
安全,あんぜん,"safety, security","aman, keselamatan"
看護婦,かんごふ,(female) nurse,perawat (wanita)
見物,けんぶつ,sightseeing,"jalan-jalan, tamasya"
相談,そうだんする,consultation,konsultasi
ガソリンスタンド,ガソリンスタンド,"gas station, service station",pom bensin
テニス,テニス,tennis,tenis
眠る,ねむる,to sleep,"tidur, terlelap"
上がる,あがる,"to rise, to go up","naik, mendaki (intransitif)"
翻訳,ほんやく,translation,penerjemahan
食事,しょくじする,meal,"makan, makanan"
お陰,おかげ,thanks or owing to,"berkat, bantuan"
娘,むすめ,daughter (humble),anak perempuan (sendiri)
湯,ゆ,hot water,air panas
競争,きょうそう,"competition, contest","persaingan, kompetisi"
会議,かいぎ,business meeting; conference,"rapat, konferensi"
湖,みずうみ,lake,danau
集まる,あつまる,"to gather (v.i.), to collect",berkumpul
～にくい,～にくい,difficult to do ~,sulit dilakukan ~
生活,せいかつする,"living, life; to live","kehidupan, hidup"
糸,いと,thread,benang
関係,かんけい,"relation(ship), connection","hubungan, kaitan"
ピアノ,ピアノ,piano,piano
～目,～め,"number ~ sequence, ~nd; ~th",ke-~ (urutan nomor)
番組,ばんぐみ,broadcast program,"acara, program siaran"
急,きゅう,"urgent, sudden; steep","mendesak, tiba-tiba"
棚,たな,"shelves, rack","rak, lemari"
木綿,もめん,cotton,"katun, kapas"
輸出,ゆしゅつする,export,ekspor
タイプ,タイプ,"type, style","tipe, model"
すり,すり,pickpocket,pencopet
嬉しい,うれしい,to be happy; to be glad,"senang, gembira"
アルコール,アルコール,alcohol,alkohol
ソフト,ソフト,soft; soft hat; software,"perangkat lunak, lembut"
神社,じんじゃ,Shinto shrine,kuil Shinto
大分,だいぶ,"fairly well, to a large extent, considerably, pretty much","lumayan, cukup banyak"
楽しみ,たのしみ,"pleasure, joy","kesenangan, kegembiraan"
趣味,しゅみ,hobby; pastime,hobi
電報,でんぽう,telegram,telegram
家内,かない,(one's own) wife,istri (sendiri)
指,ゆび,finger,jari
これから,これから,"from now on, after this",mulai sekarang
たまに,たまに,occasionally,"jarang-jarang, sekali-sekali"
社会,しゃかい,society,"masyarakat, sosial"
